Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2010","2010","1000 t","8913","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2010","2010","1000 t","2078","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2010","2010","1000 t","-402","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2010","2010","1000 t","2196","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2010","2010","1000 t","9198","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2010","2010","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2010","2010","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2010","2010","1000 t","470","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2010","2010","1000 t","261","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2010","2010","1000 t","40","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2010","2010","1000 t","-75","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2010","2010","1000 t","8502","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2010","2010","kg/cap","1.23","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2010","2010","kcal/cap/d","10","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2010","2010","million Kcal","24392590.52","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2010","2010","g/cap/d","0.36","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2010","2010","t","911938.09","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2010","2010","g/cap/d","0.3","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2010","2010","t","751363.18","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2011","2011","1000 t","10121","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2011","2011","1000 t","2281","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2011","2011","1000 t","179","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2011","2011","1000 t","2365","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2011","2011","1000 t","9858","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2011","2011","1000 t","0","E","Estimated value",""
